PERMNO,date,TICKER,COMNAM,CUSIP,PRC
58683,20171130,LUV,SOUTHWEST AIRLINES CO,84474110,60.67000
58683,20171229,LUV,SOUTHWEST AIRLINES CO,84474110,65.45000
58683,20180131,LUV,SOUTHWEST AIRLINES CO,84474110,60.80000
58683,20180228,LUV,SOUTHWEST AIRLINES CO,84474110,57.84000
58683,20180329,LUV,SOUTHWEST AIRLINES CO,84474110,57.28000
58683,20180430,LUV,SOUTHWEST AIRLINES CO,84474110,52.83000
58683,20180531,LUV,SOUTHWEST AIRLINES CO,84474110,51.08000
58683,20180629,LUV,SOUTHWEST AIRLINES CO,84474110,50.88000
58683,20180731,LUV,SOUTHWEST AIRLINES CO,84474110,58.16000
58683,20180831,LUV,SOUTHWEST AIRLINES CO,84474110,61.30000
58683,20180928,LUV,SOUTHWEST AIRLINES CO,84474110,62.45000
58683,20181031,LUV,SOUTHWEST AIRLINES CO,84474110,49.10000
58683,20181130,LUV,SOUTHWEST AIRLINES CO,84474110,54.61000
58683,20181231,LUV,SOUTHWEST AIRLINES CO,84474110,46.48000
58683,20190131,LUV,SOUTHWEST AIRLINES CO,84474110,56.76000
58683,20190228,LUV,SOUTHWEST AIRLINES CO,84474110,56.04000
58683,20190329,LUV,SOUTHWEST AIRLINES CO,84474110,51.91000
58683,20190430,LUV,SOUTHWEST AIRLINES CO,84474110,54.23000
58683,20190531,LUV,SOUTHWEST AIRLINES CO,84474110,47.60000
58683,20190628,LUV,SOUTHWEST AIRLINES CO,84474110,50.78000
58683,20190731,LUV,SOUTHWEST AIRLINES CO,84474110,51.53000
58683,20190830,LUV,SOUTHWEST AIRLINES CO,84474110,52.32000
58683,20190930,LUV,SOUTHWEST AIRLINES CO,84474110,54.01000
58683,20191031,LUV,SOUTHWEST AIRLINES CO,84474110,56.13000
58683,20191129,LUV,SOUTHWEST AIRLINES CO,84474110,57.64000
58683,20191231,LUV,SOUTHWEST AIRLINES CO,84474110,53.98000
58683,20200131,LUV,SOUTHWEST AIRLINES CO,84474110,54.98000
58683,20200228,LUV,SOUTHWEST AIRLINES CO,84474110,46.19000
58683,20200331,LUV,SOUTHWEST AIRLINES CO,84474110,35.61000
58683,20200430,LUV,SOUTHWEST AIRLINES CO,84474110,31.25000
58683,20200529,LUV,SOUTHWEST AIRLINES CO,84474110,32.10000
58683,20200630,LUV,SOUTHWEST AIRLINES CO,84474110,34.18000
58683,20200731,LUV,SOUTHWEST AIRLINES CO,84474110,30.89000
58683,20200831,LUV,SOUTHWEST AIRLINES CO,84474110,37.58000
58683,20200930,LUV,SOUTHWEST AIRLINES CO,84474110,37.50000
58683,20201030,LUV,SOUTHWEST AIRLINES CO,84474110,39.53000
58683,20201130,LUV,SOUTHWEST AIRLINES CO,84474110,46.34000
58683,20201231,LUV,SOUTHWEST AIRLINES CO,84474110,46.61000
58683,20210129,LUV,SOUTHWEST AIRLINES CO,84474110,43.94000
58683,20210226,LUV,SOUTHWEST AIRLINES CO,84474110,58.13000
58683,20210331,LUV,SOUTHWEST AIRLINES CO,84474110,61.06000
58683,20210430,LUV,SOUTHWEST AIRLINES CO,84474110,62.78000
58683,20210528,LUV,SOUTHWEST AIRLINES CO,84474110,61.46000
58683,20210630,LUV,SOUTHWEST AIRLINES CO,84474110,53.09000
58683,20210730,LUV,SOUTHWEST AIRLINES CO,84474110,50.52000
58683,20210831,LUV,SOUTHWEST AIRLINES CO,84474110,49.78000
58683,20210930,LUV,SOUTHWEST AIRLINES CO,84474110,51.43000
58683,20211029,LUV,SOUTHWEST AIRLINES CO,84474110,47.28000
58683,20211130,LUV,SOUTHWEST AIRLINES CO,84474110,44.40000
